100  3
     35.2337   -0.950284     135.093
     89.7354     10.9165     111.294
      146.56   -0.571467     118.773
     208.216    -5.10916     132.518
      271.67     -10.147     109.555
     320.048    -4.57485     125.368
     390.809    -5.22271     125.685
     439.597     -13.271     136.263
      507.52    -11.5771     134.382
     566.728    -9.57125     127.734
     16.6013     61.5323     116.345
     50.1355     57.5646      117.11
     120.423     62.8738     113.349
     171.255     43.5401     141.954
     239.785     38.0384     115.614
      298.62     52.0961     93.0599
     362.197     34.9523     110.894
     426.445     50.5245     115.868
     481.643     61.3157     118.543
     539.026     39.4037     127.079
      19.627     116.395     125.448
     97.1751     110.351     118.129
     165.055      97.504      105.47
      206.76     87.3316     129.939
     283.515     99.3386     115.306
      326.83     112.721     109.752
     379.053     104.533     125.397
     451.127     109.119     111.061
     528.422     113.099     128.856
     568.781     106.979     106.989
     12.9079     169.094      129.43
     60.6156     147.187     121.959
     127.373     159.331     109.669
     184.593     155.009     117.787
     244.207     158.573       130.1
     288.669     149.597     132.292
     355.963      159.64     103.288
      424.35     162.621     121.164
     476.775     153.924     107.871
     541.567     148.527     118.102
     27.2453     202.109     124.038
     88.6756      208.28     108.141
     150.764     200.769     122.341
     201.024     199.663     122.918
     267.029     216.348     102.933
     330.894     195.903     126.276
     376.964      209.21     137.637
     448.935     201.109       122.7
     510.315     196.952     137.481
     585.869     200.199     105.006
    -6.52983     263.967     117.692
     59.1791     257.662     118.829
     117.164     261.048     117.779
     177.924     259.544     111.056
     237.496     270.932     124.657
     303.701     246.196     118.874
     373.711     262.356     127.408
     419.622     265.141     132.505
     491.131     278.047      149.85
     542.112     267.964      128.19
     23.1903     306.447     107.038
     82.3897     306.556     118.821
     137.253     305.168     130.955
     214.031     322.538     107.391
     275.216     328.974     129.558
     370.232     305.228     123.096
     385.257     308.769     110.731
     440.774     307.501     121.293
     504.574     332.045     104.116
     570.883     311.982     127.171
    -6.07069     353.979     119.518
     49.9373     365.899     130.596
     117.811     364.262     139.081
     176.691     374.046      128.24
     248.843     371.675     136.025
     320.508     369.171     139.254
     346.984     360.793     105.978
     426.108     363.591     126.394
     478.298     368.968     121.215
     531.057     362.572     123.522
     28.6053     398.398      115.29
     78.1887      416.22     113.248
     158.177     411.167     128.434
     214.718     415.275      115.26
     269.632     427.365       101.6
     338.713     430.558     153.079
     393.726     412.315     109.149
     445.362     422.657     119.516
     498.224      415.06     131.929
     577.181     413.923     108.337
     1.19986     481.364     116.548
      67.884     454.177     132.531
     125.346     462.014     141.984
     175.106     462.257     129.299
     253.795     462.791     111.791
     300.978     466.199      119.18
     356.556     461.123     114.201
     421.168     471.482     111.715
     486.928     461.274     129.241
     537.369       482.8     122.549
