100   3
     35.2337   -0.950284     130.672
     89.7354     10.9165     113.844
      146.56   -0.571467     119.132
     208.216    -5.10916     128.852
      271.67     -10.147     112.615
     320.048    -4.57485     123.795
     390.809    -5.22271      124.02
     439.597     -13.271       131.5
      507.52    -11.5771      130.17
     566.728    -9.57125     125.469
     16.6013     61.5323     117.415
     50.1355     57.5646     117.957
     120.423     62.8738     115.297
     171.255     43.5401     135.524
     239.785     38.0384     116.898
      298.62     52.0961      100.95
     362.197     34.9523     113.561
     426.445     50.5245     117.079
     481.643     61.3157      118.97
     539.026     39.4037     125.005
      19.627     116.395     123.852
     97.1751     110.351     118.677
     165.055      97.504     109.726
      206.76     87.3316     127.028
     283.515     99.3386     116.681
      326.83     112.721     112.753
     379.053     104.533     123.816
     451.127     109.119     113.679
     528.422     113.099     126.262
     568.781     106.979       110.8
     12.9079     169.094     126.668
     60.6156     147.187     121.385
     127.373     159.331     112.695
     184.593     155.009     118.435
     244.207     158.573     127.142
     288.669     149.597     128.692
     355.963      159.64     108.183
      424.35     162.621     120.823
     476.775     153.924     111.423
     541.567     148.527     118.658
     27.2453     202.109     122.855
     88.6756      208.28     111.615
     150.764     200.769     121.655
     201.024     199.663     122.063
     267.029     216.348     107.932
     330.894     195.903     124.438
     376.964      209.21     132.472
     448.935     201.109     121.909
     510.315     196.952     132.361
     585.869     200.199     109.398
    -6.52983     263.967     118.368
     59.1791     257.662     119.172
     117.164     261.048     118.429
     177.924     259.544     113.676
     237.496     270.932     123.293
     303.701     246.196     119.204
     373.711     262.356     125.239
     419.622     265.141     128.842
     491.131     278.047     141.107
     542.112     267.964     125.791
     23.1903     306.447     110.834
     82.3897     306.556     119.166
     137.253     305.168     127.746
     214.031     322.538     111.084
     275.216     328.974     126.759
     370.232     305.228     122.189
     385.257     308.769     113.446
     440.774     307.501     120.914
     504.574     332.045     108.768
     570.883     311.982     125.071
    -6.07069     353.979     119.659
     49.9373     365.899     127.492
     117.811     364.262     133.493
     176.691     374.046     125.827
     248.843     371.675     131.332
     320.508     369.171     133.615
     346.984     360.793     110.085
     426.108     363.591     124.521
     478.298     368.968     120.859
     531.057     362.572      122.49
     28.6053     398.398     116.669
     78.1887      416.22     115.226
     158.177     411.167     125.964
     214.718     415.275     116.649
     269.632     427.365     106.989
     338.713     430.558      143.39
     393.726     412.315     112.328
     445.362     422.657     119.657
     498.224      415.06     128.435
     577.181     413.923     111.753
     1.19986     481.364     117.559
      67.884     454.177     128.861
     125.346     462.014     135.545
     175.106     462.257     126.575
     253.795     462.791     114.195
     300.978     466.199      119.42
     356.556     461.123       115.9
     421.168     471.482     114.142
     486.928     461.274     126.534
     537.369       482.8     121.802
